year,state,number of households,number interviewed,Food insecurity,margin of error - fi,very low food security,margin of error - vlfs
2001-2003,U.S. total,109546000,144686,11.0,0.23,3.4,0.11
2001-2003,AK,232000,1967,11.5,1.67,4.1,0.79
2001-2003,AL,1805000,2161,12.5,1.23,3.2,0.68
2001-2003,AR,1062000,1730,15.5,1.75,4.7,1.21
2001-2003,AZ,1958000,1932,12.3,1.36,3.8,0.65
2001-2003,CA,12617000,9165,12.2,0.64,3.6,0.38
2001-2003,CO,1717000,2916,9.7,0.77,3.0,0.42
2001-2003,CT,1287000,2492,8.0,0.73,3.0,0.50
2001-2003,DC,264000,1782,9.0,1.19,2.4,0.58
2001-2003,DE,306000,1827,6.7,1.08,1.8,0.69
2001-2003,FL,6532000,6253,11.7,0.73,3.7,0.47
2001-2003,GA,3233000,1949,12.9,1.48,3.6,0.70
2001-2003,HI,411000,1595,9.9,1.40,3.3,0.86
2001-2003,IA,1169000,2593,9.5,1.02,3.0,0.71
2001-2003,ID,503000,1952,13.7,1.45,3.9,0.74
2001-2003,IL,4784000,5046,7.9,0.68,2.5,0.44
2001-2003,IN,2413000,2834,9.9,1.08,3.4,0.65
2001-2003,KS,1061000,2583,11.7,1.28,4.4,0.62
2001-2003,KY,1638000,2073,11.2,1.41,3.3,0.66
2001-2003,LA,1689000,1546,12.3,1.24,2.6,0.70
2001-2003,MA,2533000,2857,6.2,1.21,2.3,0.55
2001-2003,MD,2096000,2403,7.7,1.17,2.9,0.65
2001-2003,ME,536000,2695,9.2,1.08,2.9,0.54
2001-2003,MI,3965000,3982,10.1,0.68,3.4,0.55
2001-2003,MN,1918000,2792,7.1,0.99,2.2,0.61
2001-2003,MO,2241000,2288,10.4,1.45,3.6,0.70
2001-2003,MS,1076000,1469,14.9,1.43,4.0,0.79
2001-2003,MT,376000,1763,12.5,1.19,4.0,0.85
2001-2003,NC,3184000,3011,13.7,1.26,4.5,0.59
2001-2003,ND,263000,2416,6.9,1.07,2.0,0.54
2001-2003,NE,667000,2375,10.4,1.29,3.0,0.56
2001-2003,NH,496000,2515,6.4,0.79,2.1,0.45
2001-2003,NJ,3168000,3329,8.6,0.93,3.1,0.65
2001-2003,NM,700000,1599,14.8,1.46,4.4,0.92
2001-2003,NV,767000,2746,9.2,0.96,3.4,0.64
2001-2003,NY,7190000,6990,10.0,0.50,3.1,0.45
2001-2003,OH,4475000,4611,10.9,0.90,3.6,0.55
2001-2003,OK,1386000,1983,14.1,1.38,5.2,0.76
2001-2003,OR,1388000,2354,12.9,1.16,4.3,0.62
2001-2003,PA,4755000,5302,9.5,0.70,2.6,0.47
2001-2003,RI,404000,2549,11.1,1.31,3.6,0.52
2001-2003,SC,1583000,1821,13.5,1.23,4.9,0.93
2001-2003,SD,296000,2454,8.9,1.09,2.4,0.50
2001-2003,TN,2291000,1738,10.9,1.25,3.3,0.70
2001-2003,TX,7808000,5693,14.9,0.88,4.1,0.47
2001-2003,UT,737000,1811,14.6,1.73,4.4,0.89
2001-2003,VA,2835000,2301,8.4,0.82,2.2,0.45
2001-2003,VT,254000,2271,8.9,0.98,3.0,0.62
2001-2003,WA,2379000,2671,11.6,1.23,3.9,0.67
2001-2003,WI,2143000,3100,9.0,0.97,3.2,0.51
2001-2003,WV,750000,2296,8.9,0.80,2.7,0.50
2001-2003,WY,205000,2105,10.1,1.25,4.2,0.90
2004-2006,U.S.,114338000,141683,11.3,0.26,3.9,0.14
2004-2006,AK,243000,1785,12.6,1.36,5.1,0.71
2004-2006,AL,1831000,1685,12.1,1.55,3.3,1.10
2004-2006,AR,1125000,1687,14.3,1.17,5.8,1.04
2004-2006,AZ,2216000,1868,13.1,1.55,4.3,0.72
2004-2006,CA,12807000,10155,10.9,0.73,3.7,0.45
2004-2006,CO,1874000,2988,12.0,1.31,4.4,0.65
2004-2006,CT,1386000,2758,8.6,0.95,2.7,0.46
2004-2006,DC,266000,1970,12.5,0.90,3.8,0.84
2004-2006,DE,328000,2118,7.8,1.43,2.6,0.61
2004-2006,FL,7242000,5893,8.9,0.56,3.1,0.24
2004-2006,GA,3523000,2844,12.6,1.65,5.0,0.89
2004-2006,HI,448000,1843,7.8,0.59,2.8,0.62
2004-2006,IA,1210000,2857,11.4,1.33,3.9,0.58
2004-2006,ID,526000,1696,12.7,0.88,3.5,0.59
2004-2006,IL,4937000,4373,9.8,0.85,3.5,0.34
